NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
SORAYA THRONICKE,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,UNIÃO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Branco,12,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Nulo,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
FELIPE D'AVILA,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,NOVO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
LULA,120,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JAIR BOLSONARO,67,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
SIMONE TEBET,7,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,MDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
CIRO GOMES,9,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ONYX LORENZONI,57,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,PL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Nulo,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Branco,19,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
VIEIRA DA CUNHA,4,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
EDUARDO LEITE,73,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,PSDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
EDEGAR PRETTO,58,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
LUIS CARLOS HEINZE,6,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Governador,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Branco,33,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Nulo,7,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ANA AMÉLIA LEMOS,38,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,PSD,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
COMANDANTE NÁDIA,4,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
HAMILTON MOURÃO,53,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,REPUBLICANOS,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PROFESSOR NADO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,AVANTE,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
OLÍVIO DUTRA,83,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Senador,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JONATHAN RODRIGUES,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,MDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
RODRIGUINHO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PATRIOTA,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
CRIS MORAES,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PV,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
TEREZA FUJII,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ALTAIR ALVES,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,UNIÃO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
FERNANDA MELCHIONNA,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PSOL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PEDRO WESTPHALEN,9,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
BOHN GASS,4,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Nulo,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Branco,22,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MARCELO MORAES,9,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MAURICIO DZIEDRICKI,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PODE,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MAURICIO MARCON,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PODE,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
RONALDO NOGUEIRA,6,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,REPUBLICANOS,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PSD,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PSD,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MIGUEL CRIZEL,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,UNIÃO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
NEREU CRISPIM,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PSD,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PDT,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PT,3,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PSC,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PSC,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
CARLOS GOMES,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,REPUBLICANOS,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
LASIER MARTINS,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PODE,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
DAIANA SANTOS,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PC do B,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
CORONEL MALABARBA,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,UNIÃO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
RAFAEL BATERA CADEIRANTE,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,SOLIDARIEDADE,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MARCEL VAN HATTEM,3,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,NOVO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
RENAN SANTOS,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,AVANTE,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
TENENTE CORONEL ZUCCO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,REPUBLICANOS,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PROFESSOR WAMBERT DI LORENZO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PTB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ERIC LINS,7,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
DR FAVIO TELIS,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,MDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PAULO PIMENTA,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
GIOVANI FELTES,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,MDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MOISÉS BARBOZA MALUCO DO BEM,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PSDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ENFERMEIRA FÁBIA RICHTER,43,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PSD,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
BUSATO,3,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,UNIÃO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ALCEU MOREIRA,17,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,MDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MARCON,11,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Deputado Federal,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
