NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
CIRO GOMES,16,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
SIMONE TEBET,10,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,MDB,156,1,-30.26035,-50.50877,PALMARES DO SUL
JAIR BOLSONARO,98,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PL,156,1,-30.26035,-50.50877,PALMARES DO SUL
LULA,106,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
Nulo,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,#NULO#,156,1,-30.26035,-50.50877,PALMARES DO SUL
Nulo,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,#NULO#,156,1,-30.26035,-50.50877,PALMARES DO SUL
ONYX LORENZONI,61,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,PL,156,1,-30.26035,-50.50877,PALMARES DO SUL
Branco,6,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,#NULO#,156,1,-30.26035,-50.50877,PALMARES DO SUL
EDEGAR PRETTO,86,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
VIEIRA DA CUNHA,6,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
LUIS CARLOS HEINZE,11,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,PP,156,1,-30.26035,-50.50877,PALMARES DO SUL
EDUARDO LEITE,60,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Governador,PSDB,156,1,-30.26035,-50.50877,PALMARES DO SUL
COMANDANTE NÁDIA,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Senador,PP,156,1,-30.26035,-50.50877,PALMARES DO SUL
OLÍVIO DUTRA,106,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Senador,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
HAMILTON MOURÃO,82,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Senador,REPUBLICANOS,156,1,-30.26035,-50.50877,PALMARES DO SUL
ANA AMÉLIA LEMOS,26,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Senador,PSD,156,1,-30.26035,-50.50877,PALMARES DO SUL
