NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
FELIPE D'AVILA,1,E. E. BERNARDINO ANGELO,Presidente,NOVO,18,1,-30.981,-54.67772,DOM PEDRITO
Nulo,2,E. E. BERNARDINO ANGELO,Presidente,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
Branco,2,E. E. BERNARDINO ANGELO,Presidente,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
JAIR BOLSONARO,56,E. E. BERNARDINO ANGELO,Presidente,PL,18,1,-30.981,-54.67772,DOM PEDRITO
SIMONE TEBET,5,E. E. BERNARDINO ANGELO,Presidente,MDB,18,1,-30.981,-54.67772,DOM PEDRITO
CIRO GOMES,2,E. E. BERNARDINO ANGELO,Presidente,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
LULA,78,E. E. BERNARDINO ANGELO,Presidente,PT,18,1,-30.981,-54.67772,DOM PEDRITO
PADRE KELMON,1,E. E. BERNARDINO ANGELO,Presidente,PTB,18,1,-30.981,-54.67772,DOM PEDRITO
EDEGAR PRETTO,51,E. E. BERNARDINO ANGELO,Governador,PT,18,1,-30.981,-54.67772,DOM PEDRITO
EDUARDO LEITE,28,E. E. BERNARDINO ANGELO,Governador,PSDB,18,1,-30.981,-54.67772,DOM PEDRITO
ARGENTA,1,E. E. BERNARDINO ANGELO,Governador,PSC,18,1,-30.981,-54.67772,DOM PEDRITO
LUIS CARLOS HEINZE,7,E. E. BERNARDINO ANGELO,Governador,PP,18,1,-30.981,-54.67772,DOM PEDRITO
VIEIRA DA CUNHA,4,E. E. BERNARDINO ANGELO,Governador,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
Branco,6,E. E. BERNARDINO ANGELO,Governador,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
Nulo,3,E. E. BERNARDINO ANGELO,Governador,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
ONYX LORENZONI,47,E. E. BERNARDINO ANGELO,Governador,PL,18,1,-30.981,-54.67772,DOM PEDRITO
Branco,8,E. E. BERNARDINO ANGELO,Senador,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
ANA AMÉLIA LEMOS,10,E. E. BERNARDINO ANGELO,Senador,PSD,18,1,-30.981,-54.67772,DOM PEDRITO
Nulo,7,E. E. BERNARDINO ANGELO,Senador,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
COMANDANTE NÁDIA,1,E. E. BERNARDINO ANGELO,Senador,PP,18,1,-30.981,-54.67772,DOM PEDRITO
OLÍVIO DUTRA,66,E. E. BERNARDINO ANGELO,Senador,PT,18,1,-30.981,-54.67772,DOM PEDRITO
SANNY FIGUEIREDO,1,E. E. BERNARDINO ANGELO,Senador,PSB,18,1,-30.981,-54.67772,DOM PEDRITO
PROFESSOR NADO,1,E. E. BERNARDINO ANGELO,Senador,AVANTE,18,1,-30.981,-54.67772,DOM PEDRITO
HAMILTON MOURÃO,53,E. E. BERNARDINO ANGELO,Senador,REPUBLICANOS,18,1,-30.981,-54.67772,DOM PEDRITO
DANIEL MUSSI,4,E. E. BERNARDINO ANGELO,Deputado Federal,PSD,18,1,-30.981,-54.67772,DOM PEDRITO
AFONSO MOTTA,5,E. E. BERNARDINO ANGELO,Deputado Federal,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
MARCON,1,E. E. BERNARDINO ANGELO,Deputado Federal,PT,18,1,-30.981,-54.67772,DOM PEDRITO
MARIA DO ROSÁRIO,1,E. E. BERNARDINO ANGELO,Deputado Federal,PT,18,1,-30.981,-54.67772,DOM PEDRITO
DOUGLAS MAESTRO PIFADOR,1,E. E. BERNARDINO ANGELO,Deputado Federal,UNIÃO,18,1,-30.981,-54.67772,DOM PEDRITO
ANTONIO COLETIVO MÃOS DADAS,1,E. E. BERNARDINO ANGELO,Deputado Federal,PSOL,18,1,-30.981,-54.67772,DOM PEDRITO
AFONSO HAMM,51,E. E. BERNARDINO ANGELO,Deputado Federal,PP,18,1,-30.981,-54.67772,DOM PEDRITO
JULIANA BRIZOLA,2,E. E. BERNARDINO ANGELO,Deputado Federal,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
ANACLETO ZANELLA,1,E. E. BERNARDINO ANGELO,Deputado Federal,PT,18,1,-30.981,-54.67772,DOM PEDRITO
GIOVANI FELTES,1,E. E. BERNARDINO ANGELO,Deputado Federal,MDB,18,1,-30.981,-54.67772,DOM PEDRITO
ENFERMEIRA FÁBIA RICHTER,2,E. E. BERNARDINO ANGELO,Deputado Federal,PSD,18,1,-30.981,-54.67772,DOM PEDRITO
ANY ORTIZ,1,E. E. BERNARDINO ANGELO,Deputado Federal,CIDADANIA,18,1,-30.981,-54.67772,DOM PEDRITO
FERNANDA MELCHIONNA,1,E. E. BERNARDINO ANGELO,Deputado Federal,PSOL,18,1,-30.981,-54.67772,DOM PEDRITO
CRIS MORAES,1,E. E. BERNARDINO ANGELO,Deputado Federal,PV,18,1,-30.981,-54.67772,DOM PEDRITO
SÉRGIO TURRA,4,E. E. BERNARDINO ANGELO,Deputado Federal,PP,18,1,-30.981,-54.67772,DOM PEDRITO
FELIPE PEDRI,1,E. E. BERNARDINO ANGELO,Deputado Federal,PL,18,1,-30.981,-54.67772,DOM PEDRITO
PAULO PIMENTA,22,E. E. BERNARDINO ANGELO,Deputado Federal,PT,18,1,-30.981,-54.67772,DOM PEDRITO
BEATRIZ SOUZA,2,E. E. BERNARDINO ANGELO,Deputado Federal,PSB,18,1,-30.981,-54.67772,DOM PEDRITO
EWERTON FALK,1,E. E. BERNARDINO ANGELO,Deputado Federal,PL,18,1,-30.981,-54.67772,DOM PEDRITO
DANIEL TRZECIAK 'DANIEL DA TV',2,E. E. BERNARDINO ANGELO,Deputado Federal,PSDB,18,1,-30.981,-54.67772,DOM PEDRITO
GIOVANI CHERINI,3,E. E. BERNARDINO ANGELO,Deputado Federal,PL,18,1,-30.981,-54.67772,DOM PEDRITO
MARCIO BIOLCHI,2,E. E. BERNARDINO ANGELO,Deputado Federal,MDB,18,1,-30.981,-54.67772,DOM PEDRITO
COVATTI FILHO,1,E. E. BERNARDINO ANGELO,Deputado Federal,PP,18,1,-30.981,-54.67772,DOM PEDRITO
MARCEL VAN HATTEM,3,E. E. BERNARDINO ANGELO,Deputado Federal,NOVO,18,1,-30.981,-54.67772,DOM PEDRITO
VILMAR LOURENÇO,1,E. E. BERNARDINO ANGELO,Deputado Federal,PP,18,1,-30.981,-54.67772,DOM PEDRITO
DENISE PESSÔA,1,E. E. BERNARDINO ANGELO,Deputado Federal,PT,18,1,-30.981,-54.67772,DOM PEDRITO
MÁRCIO FEIJÓ,1,E. E. BERNARDINO ANGELO,Deputado Federal,REPUBLICANOS,18,1,-30.981,-54.67772,DOM PEDRITO
DAIANA SANTOS,1,E. E. BERNARDINO ANGELO,Deputado Federal,PC do B,18,1,-30.981,-54.67772,DOM PEDRITO
LEANDRO ALMEIDA,1,E. E. BERNARDINO ANGELO,Deputado Federal,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
Branco,3,E. E. BERNARDINO ANGELO,Deputado Federal,#NULO#,18,1,-30.981,-54.67772,DOM PEDRITO
