NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,11,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,#NULO#,47,1,-28.63667,-56.015,SÃO BORJA
Nulo,6,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,#NULO#,47,1,-28.63667,-56.015,SÃO BORJA
CIRO GOMES,36,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PDT,47,1,-28.63667,-56.015,SÃO BORJA
FERNANDO HADDAD,106,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PT,47,1,-28.63667,-56.015,SÃO BORJA
HENRIQUE MEIRELLES,6,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,MDB,47,1,-28.63667,-56.015,SÃO BORJA
JAIR BOLSONARO,100,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PSL,47,1,-28.63667,-56.015,SÃO BORJA
MARINA SILVA,2,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,REDE,47,1,-28.63667,-56.015,SÃO BORJA
JOÃO AMOÊDO,5,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,NOVO,47,1,-28.63667,-56.015,SÃO BORJA
GERALDO ALCKMIN,9,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PSDB,47,1,-28.63667,-56.015,SÃO BORJA
GUILHERME BOULOS,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PSOL,47,1,-28.63667,-56.015,SÃO BORJA
CABO DACIOLO,2,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PATRI,47,1,-28.63667,-56.015,SÃO BORJA
Branco,8,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,#NULO#,47,10,-28.64875,-56.00321,SÃO BORJA
Nulo,4,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,#NULO#,47,10,-28.64875,-56.00321,SÃO BORJA
CIRO GOMES,39,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PDT,47,10,-28.64875,-56.00321,SÃO BORJA
FERNANDO HADDAD,110,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PT,47,10,-28.64875,-56.00321,SÃO BORJA
HENRIQUE MEIRELLES,1,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,MDB,47,10,-28.64875,-56.00321,SÃO BORJA
JAIR BOLSONARO,89,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PSL,47,10,-28.64875,-56.00321,SÃO BORJA
MARINA SILVA,1,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,REDE,47,10,-28.64875,-56.00321,SÃO BORJA
ALVARO DIAS,1,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PODE,47,10,-28.64875,-56.00321,SÃO BORJA
JOÃO AMOÊDO,3,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,NOVO,47,10,-28.64875,-56.00321,SÃO BORJA
GERALDO ALCKMIN,7,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PSDB,47,10,-28.64875,-56.00321,SÃO BORJA
GUILHERME BOULOS,2,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PSOL,47,10,-28.64875,-56.00321,SÃO BORJA
CABO DACIOLO,2,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PATRI,47,10,-28.64875,-56.00321,SÃO BORJA
JOÃO GOULART FILHO,1,INSTITUTO ESTADUAL ARNELDO MATTER,Presidente,PPL,47,10,-28.64875,-56.00321,SÃO BORJA
Branco,3,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,#NULO#,47,100,-28.65634,-56.01143,SÃO BORJA
Nulo,4,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,#NULO#,47,100,-28.65634,-56.01143,SÃO BORJA
CIRO GOMES,33,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,PDT,47,100,-28.65634,-56.01143,SÃO BORJA
FERNANDO HADDAD,75,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,PT,47,100,-28.65634,-56.01143,SÃO BORJA
HENRIQUE MEIRELLES,2,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,MDB,47,100,-28.65634,-56.01143,SÃO BORJA
JAIR BOLSONARO,132,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,PSL,47,100,-28.65634,-56.01143,SÃO BORJA
MARINA SILVA,4,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,REDE,47,100,-28.65634,-56.01143,SÃO BORJA
JOÃO AMOÊDO,2,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,NOVO,47,100,-28.65634,-56.01143,SÃO BORJA
GERALDO ALCKMIN,6,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,PSDB,47,100,-28.65634,-56.01143,SÃO BORJA
JOÃO GOULART FILHO,1,ESCOLA ESTADUAL APPARICIO SILVA RILLO,Presidente,PPL,47,100,-28.65634,-56.01143,SÃO BORJA
Branco,3,COLÉGIO ESTADUAL SÃO BORJA (CESB),Presidente,#NULO#,47,102,-28.66308,-56.0002,SÃO BORJA
CIRO GOMES,38,COLÉGIO ESTADUAL SÃO BORJA (CESB),Presidente,PDT,47,102,-28.66308,-56.0002,SÃO BORJA
FERNANDO HADDAD,54,COLÉGIO ESTADUAL SÃO BORJA (CESB),Presidente,PT,47,102,-28.66308,-56.0002,SÃO BORJA
HENRIQUE MEIRELLES,4,COLÉGIO ESTADUAL SÃO BORJA (CESB),Presidente,MDB,47,102,-28.66308,-56.0002,SÃO BORJA
