NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,2,ESC. SAO CARLOS,Presidente,#NULO#,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
Nulo,8,ESC. SAO CARLOS,Presidente,#NULO#,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
CIRO GOMES,16,ESC. SAO CARLOS,Presidente,PDT,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
FERNANDO HADDAD,43,ESC. SAO CARLOS,Presidente,PT,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
HENRIQUE MEIRELLES,2,ESC. SAO CARLOS,Presidente,MDB,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
JAIR BOLSONARO,87,ESC. SAO CARLOS,Presidente,PSL,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
MARINA SILVA,1,ESC. SAO CARLOS,Presidente,REDE,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
JOÃO AMOÊDO,2,ESC. SAO CARLOS,Presidente,NOVO,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
GERALDO ALCKMIN,8,ESC. SAO CARLOS,Presidente,PSDB,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
GUILHERME BOULOS,1,ESC. SAO CARLOS,Presidente,PSOL,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
CABO DACIOLO,2,ESC. SAO CARLOS,Presidente,PATRI,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
Branco,12,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,#NULO#,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
Nulo,10,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,#NULO#,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
CIRO GOMES,20,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,PDT,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
FERNANDO HADDAD,63,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,PT,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
HENRIQUE MEIRELLES,3,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,MDB,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
JAIR BOLSONARO,93,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,PSL,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
MARINA SILVA,3,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,REDE,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
ALVARO DIAS,4,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,PODE,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
JOÃO AMOÊDO,4,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,NOVO,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
GERALDO ALCKMIN,15,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,PSDB,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
GUILHERME BOULOS,3,ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO,Presidente,PSOL,43,10,-33.51546,-53.3626,SANTA VITÓRIA DO PALMAR
