NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,18,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
Nulo,9,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
CIRO GOMES,12,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,PDT,12,20,-30.73588,-52.27163,DOM FELICIANO
FERNANDO HADDAD,64,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,PT,12,20,-30.73588,-52.27163,DOM FELICIANO
HENRIQUE MEIRELLES,1,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,MDB,12,20,-30.73588,-52.27163,DOM FELICIANO
JAIR BOLSONARO,81,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,PSL,12,20,-30.73588,-52.27163,DOM FELICIANO
GERALDO ALCKMIN,53,ESCOLA MUNICIPAL SANTA TERESINHA,Presidente,PSDB,12,20,-30.73588,-52.27163,DOM FELICIANO
Branco,4,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,237,-30.70167,-52.10804,DOM FELICIANO
Nulo,10,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,237,-30.70167,-52.10804,DOM FELICIANO
CIRO GOMES,22,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PDT,12,237,-30.70167,-52.10804,DOM FELICIANO
FERNANDO HADDAD,63,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PT,12,237,-30.70167,-52.10804,DOM FELICIANO
HENRIQUE MEIRELLES,2,ESCOLA ESTADUAL DOM FELICIANO,Presidente,MDB,12,237,-30.70167,-52.10804,DOM FELICIANO
JAIR BOLSONARO,102,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSL,12,237,-30.70167,-52.10804,DOM FELICIANO
ALVARO DIAS,2,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PODE,12,237,-30.70167,-52.10804,DOM FELICIANO
JOÃO AMOÊDO,2,ESCOLA ESTADUAL DOM FELICIANO,Presidente,NOVO,12,237,-30.70167,-52.10804,DOM FELICIANO
GERALDO ALCKMIN,17,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSDB,12,237,-30.70167,-52.10804,DOM FELICIANO
CABO DACIOLO,1,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PATRI,12,237,-30.70167,-52.10804,DOM FELICIANO
Branco,7,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,#NULO#,12,238,-30.70802,-52.10865,DOM FELICIANO
Nulo,9,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,#NULO#,12,238,-30.70802,-52.10865,DOM FELICIANO
CIRO GOMES,14,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PDT,12,238,-30.70802,-52.10865,DOM FELICIANO
FERNANDO HADDAD,74,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PT,12,238,-30.70802,-52.10865,DOM FELICIANO
HENRIQUE MEIRELLES,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,MDB,12,238,-30.70802,-52.10865,DOM FELICIANO
JAIR BOLSONARO,32,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PSL,12,238,-30.70802,-52.10865,DOM FELICIANO
MARINA SILVA,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,REDE,12,238,-30.70802,-52.10865,DOM FELICIANO
ALVARO DIAS,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PODE,12,238,-30.70802,-52.10865,DOM FELICIANO
JOÃO AMOÊDO,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,NOVO,12,238,-30.70802,-52.10865,DOM FELICIANO
GERALDO ALCKMIN,23,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PSDB,12,238,-30.70802,-52.10865,DOM FELICIANO
CABO DACIOLO,2,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PATRI,12,238,-30.70802,-52.10865,DOM FELICIANO
Branco,14,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
Nulo,9,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
CIRO GOMES,15,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PDT,12,3,-30.70167,-52.10804,DOM FELICIANO
FERNANDO HADDAD,92,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PT,12,3,-30.70167,-52.10804,DOM FELICIANO
HENRIQUE MEIRELLES,4,ESCOLA ESTADUAL DOM FELICIANO,Presidente,MDB,12,3,-30.70167,-52.10804,DOM FELICIANO
JAIR BOLSONARO,135,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSL,12,3,-30.70167,-52.10804,DOM FELICIANO
MARINA SILVA,1,ESCOLA ESTADUAL DOM FELICIANO,Presidente,REDE,12,3,-30.70167,-52.10804,DOM FELICIANO
ALVARO DIAS,4,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PODE,12,3,-30.70167,-52.10804,DOM FELICIANO
JOÃO AMOÊDO,5,ESCOLA ESTADUAL DOM FELICIANO,Presidente,NOVO,12,3,-30.70167,-52.10804,DOM FELICIANO
GERALDO ALCKMIN,35,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSDB,12,3,-30.70167,-52.10804,DOM FELICIANO
Branco,22,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,#NULO#,12,74,-30.70802,-52.10865,DOM FELICIANO
Nulo,5,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,#NULO#,12,74,-30.70802,-52.10865,DOM FELICIANO
CIRO GOMES,24,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PDT,12,74,-30.70802,-52.10865,DOM FELICIANO
FERNANDO HADDAD,112,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PT,12,74,-30.70802,-52.10865,DOM FELICIANO
HENRIQUE MEIRELLES,4,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,MDB,12,74,-30.70802,-52.10865,DOM FELICIANO
JAIR BOLSONARO,89,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PSL,12,74,-30.70802,-52.10865,DOM FELICIANO
JOÃO AMOÊDO,2,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,NOVO,12,74,-30.70802,-52.10865,DOM FELICIANO
GERALDO ALCKMIN,58,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PSDB,12,74,-30.70802,-52.10865,DOM FELICIANO
CABO DACIOLO,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PATRI,12,74,-30.70802,-52.10865,DOM FELICIANO
Branco,10,SOCIEDADE SANTO ADALBERTO,Presidente,#NULO#,12,76,-30.65692,-52.03361,DOM FELICIANO
Nulo,8,SOCIEDADE SANTO ADALBERTO,Presidente,#NULO#,12,76,-30.65692,-52.03361,DOM FELICIANO
CIRO GOMES,7,SOCIEDADE SANTO ADALBERTO,Presidente,PDT,12,76,-30.65692,-52.03361,DOM FELICIANO
FERNANDO HADDAD,34,SOCIEDADE SANTO ADALBERTO,Presidente,PT,12,76,-30.65692,-52.03361,DOM FELICIANO
JAIR BOLSONARO,69,SOCIEDADE SANTO ADALBERTO,Presidente,PSL,12,76,-30.65692,-52.03361,DOM FELICIANO
MARINA SILVA,1,SOCIEDADE SANTO ADALBERTO,Presidente,REDE,12,76,-30.65692,-52.03361,DOM FELICIANO
ALVARO DIAS,1,SOCIEDADE SANTO ADALBERTO,Presidente,PODE,12,76,-30.65692,-52.03361,DOM FELICIANO
GERALDO ALCKMIN,11,SOCIEDADE SANTO ADALBERTO,Presidente,PSDB,12,76,-30.65692,-52.03361,DOM FELICIANO
Branco,2,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,78,-30.70167,-52.10804,DOM FELICIANO
Nulo,9,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,78,-30.70167,-52.10804,DOM FELICIANO
CIRO GOMES,14,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PDT,12,78,-30.70167,-52.10804,DOM FELICIANO
FERNANDO HADDAD,99,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PT,12,78,-30.70167,-52.10804,DOM FELICIANO
HENRIQUE MEIRELLES,3,ESCOLA ESTADUAL DOM FELICIANO,Presidente,MDB,12,78,-30.70167,-52.10804,DOM FELICIANO
JAIR BOLSONARO,138,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSL,12,78,-30.70167,-52.10804,DOM FELICIANO
ALVARO DIAS,2,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PODE,12,78,-30.70167,-52.10804,DOM FELICIANO
EYMAEL,1,ESCOLA ESTADUAL DOM FELICIANO,Presidente,DC,12,78,-30.70167,-52.10804,DOM FELICIANO
JOÃO AMOÊDO,9,ESCOLA ESTADUAL DOM FELICIANO,Presidente,NOVO,12,78,-30.70167,-52.10804,DOM FELICIANO
GERALDO ALCKMIN,29,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSDB,12,78,-30.70167,-52.10804,DOM FELICIANO
GUILHERME BOULOS,1,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PSOL,12,78,-30.70167,-52.10804,DOM FELICIANO
CABO DACIOLO,3,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PATRI,12,78,-30.70167,-52.10804,DOM FELICIANO
Branco,21,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,#NULO#,12,9,-30.70802,-52.10865,DOM FELICIANO
Nulo,20,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,#NULO#,12,9,-30.70802,-52.10865,DOM FELICIANO
CIRO GOMES,22,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PDT,12,9,-30.70802,-52.10865,DOM FELICIANO
FERNANDO HADDAD,108,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PT,12,9,-30.70802,-52.10865,DOM FELICIANO
HENRIQUE MEIRELLES,4,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,MDB,12,9,-30.70802,-52.10865,DOM FELICIANO
JAIR BOLSONARO,87,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PSL,12,9,-30.70802,-52.10865,DOM FELICIANO
MARINA SILVA,2,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,REDE,12,9,-30.70802,-52.10865,DOM FELICIANO
ALVARO DIAS,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PODE,12,9,-30.70802,-52.10865,DOM FELICIANO
JOÃO AMOÊDO,1,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,NOVO,12,9,-30.70802,-52.10865,DOM FELICIANO
GERALDO ALCKMIN,33,ESCOLA CATULINO PEREIRA DA ROSA,Presidente,PSDB,12,9,-30.70802,-52.10865,DOM FELICIANO
Branco,21,ESCOLA MUNICIPAL SANTA TERESINHA,Governador,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
Nulo,13,ESCOLA MUNICIPAL SANTA TERESINHA,Governador,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
JAIRO JORGE,2,ESCOLA MUNICIPAL SANTA TERESINHA,Governador,PDT,12,20,-30.73588,-52.27163,DOM FELICIANO
MIGUEL ROSSETTO,42,ESCOLA MUNICIPAL SANTA TERESINHA,Governador,PT,12,20,-30.73588,-52.27163,DOM FELICIANO
JOSÉ IVO SARTORI,21,ESCOLA MUNICIPAL SANTA TERESINHA,Governador,MDB,12,20,-30.73588,-52.27163,DOM FELICIANO
EDUARDO LEITE,139,ESCOLA MUNICIPAL SANTA TERESINHA,Governador,PSDB,12,20,-30.73588,-52.27163,DOM FELICIANO
Branco,67,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
Nulo,51,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
LUIS CARLOS HEINZE,79,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PP,12,20,-30.73588,-52.27163,DOM FELICIANO
PAULO PAIM,66,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PT,12,20,-30.73588,-52.27163,DOM FELICIANO
JOSÉ FOGAÇA,50,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,MDB,12,20,-30.73588,-52.27163,DOM FELICIANO
CARMEN FLORES,14,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PSL,12,20,-30.73588,-52.27163,DOM FELICIANO
ANA VARELA,1,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PODE,12,20,-30.73588,-52.27163,DOM FELICIANO
MARIO BERND,44,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PPS,12,20,-30.73588,-52.27163,DOM FELICIANO
BETO ALBUQUERQUE,68,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PSB,12,20,-30.73588,-52.27163,DOM FELICIANO
ABIGAIL PEREIRA,33,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,PC do B,12,20,-30.73588,-52.27163,DOM FELICIANO
DRA. SANDRA WEBER,3,ESCOLA MUNICIPAL SANTA TERESINHA,Senador,SOLIDARIEDADE,12,20,-30.73588,-52.27163,DOM FELICIANO
Branco,26,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
Nulo,10,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,#NULO#,12,20,-30.73588,-52.27163,DOM FELICIANO
CARLOS GOMES,1,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PRB,12,20,-30.73588,-52.27163,DOM FELICIANO
PRB,1,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PRB,12,20,-30.73588,-52.27163,DOM FELICIANO
CARLOS DELGADO,1,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PP,12,20,-30.73588,-52.27163,DOM FELICIANO
JERÔNIMO GOERGEN,1,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PP,12,20,-30.73588,-52.27163,DOM FELICIANO
PP,1,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PP,12,20,-30.73588,-52.27163,DOM FELICIANO
MARLON SANTOS,8,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PDT,12,20,-30.73588,-52.27163,DOM FELICIANO
ALCEU BARBOSA VELHO,4,ESCOLA MUNICIPAL SANTA TERESINHA,Deputado Federal,PDT,12,20,-30.73588,-52.27163,DOM FELICIANO
