NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,7,ESC. MUN. ALVARO BERCHON,Presidente,#NULO#,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
Nulo,4,ESC. MUN. ALVARO BERCHON,Presidente,#NULO#,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
CIRO GOMES,14,ESC. MUN. ALVARO BERCHON,Presidente,PDT,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
FERNANDO HADDAD,43,ESC. MUN. ALVARO BERCHON,Presidente,PT,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
HENRIQUE MEIRELLES,2,ESC. MUN. ALVARO BERCHON,Presidente,MDB,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
JAIR BOLSONARO,60,ESC. MUN. ALVARO BERCHON,Presidente,PSL,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
MARINA SILVA,4,ESC. MUN. ALVARO BERCHON,Presidente,REDE,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
ALVARO DIAS,1,ESC. MUN. ALVARO BERCHON,Presidente,PODE,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
JOÃO AMOÊDO,1,ESC. MUN. ALVARO BERCHON,Presidente,NOVO,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
GERALDO ALCKMIN,14,ESC. MUN. ALVARO BERCHON,Presidente,PSDB,164,892,-31.84948,-52.67278,CAPÃO DO LEÃO
Branco,12,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,#NULO#,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
Nulo,16,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,#NULO#,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
CIRO GOMES,17,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PDT,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
FERNANDO HADDAD,89,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PT,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
HENRIQUE MEIRELLES,6,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,MDB,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
JAIR BOLSONARO,95,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PSL,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
ALVARO DIAS,2,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PODE,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
JOÃO AMOÊDO,1,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,NOVO,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
GERALDO ALCKMIN,27,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PSDB,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
GUILHERME BOULOS,2,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PSOL,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
CABO DACIOLO,4,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PATRI,164,893,-31.76583,-52.43325,CAPÃO DO LEÃO
Branco,18,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,#NULO#,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
Nulo,12,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,#NULO#,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
CIRO GOMES,32,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PDT,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
FERNANDO HADDAD,89,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PT,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
HENRIQUE MEIRELLES,4,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,MDB,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
JAIR BOLSONARO,84,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PSL,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
MARINA SILVA,1,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,REDE,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
ALVARO DIAS,2,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PODE,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
GERALDO ALCKMIN,16,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PSDB,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
GUILHERME BOULOS,2,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PSOL,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
CABO DACIOLO,2,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,PATRI,164,894,-31.76583,-52.43325,CAPÃO DO LEÃO
Branco,18,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,#NULO#,164,895,-31.76583,-52.43325,CAPÃO DO LEÃO
Nulo,10,ESC. MUN. PREF. ELBERTO MADRUGA,Presidente,#NULO#,164,895,-31.76583,-52.43325,CAPÃO DO LEÃO
