NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,8,ESPORTE CLUBE CRUZEIRO,Presidente,#NULO#,14,1,-31.38969,-52.67534,CANGUÇU
Nulo,14,ESPORTE CLUBE CRUZEIRO,Presidente,#NULO#,14,1,-31.38969,-52.67534,CANGUÇU
CIRO GOMES,30,ESPORTE CLUBE CRUZEIRO,Presidente,PDT,14,1,-31.38969,-52.67534,CANGUÇU
FERNANDO HADDAD,52,ESPORTE CLUBE CRUZEIRO,Presidente,PT,14,1,-31.38969,-52.67534,CANGUÇU
HENRIQUE MEIRELLES,4,ESPORTE CLUBE CRUZEIRO,Presidente,MDB,14,1,-31.38969,-52.67534,CANGUÇU
JAIR BOLSONARO,158,ESPORTE CLUBE CRUZEIRO,Presidente,PSL,14,1,-31.38969,-52.67534,CANGUÇU
MARINA SILVA,2,ESPORTE CLUBE CRUZEIRO,Presidente,REDE,14,1,-31.38969,-52.67534,CANGUÇU
ALVARO DIAS,3,ESPORTE CLUBE CRUZEIRO,Presidente,PODE,14,1,-31.38969,-52.67534,CANGUÇU
JOÃO AMOÊDO,4,ESPORTE CLUBE CRUZEIRO,Presidente,NOVO,14,1,-31.38969,-52.67534,CANGUÇU
GERALDO ALCKMIN,23,ESPORTE CLUBE CRUZEIRO,Presidente,PSDB,14,1,-31.38969,-52.67534,CANGUÇU
GUILHERME BOULOS,2,ESPORTE CLUBE CRUZEIRO,Presidente,PSOL,14,1,-31.38969,-52.67534,CANGUÇU
CABO DACIOLO,1,ESPORTE CLUBE CRUZEIRO,Presidente,PATRI,14,1,-31.38969,-52.67534,CANGUÇU
Branco,45,E.M.E.F. GONÇALVES DIAS,Presidente,#NULO#,14,10,-31.58383,-52.8982,CANGUÇU
Nulo,10,E.M.E.F. GONÇALVES DIAS,Presidente,#NULO#,14,10,-31.58383,-52.8982,CANGUÇU
CIRO GOMES,6,E.M.E.F. GONÇALVES DIAS,Presidente,PDT,14,10,-31.58383,-52.8982,CANGUÇU
FERNANDO HADDAD,58,E.M.E.F. GONÇALVES DIAS,Presidente,PT,14,10,-31.58383,-52.8982,CANGUÇU
HENRIQUE MEIRELLES,1,E.M.E.F. GONÇALVES DIAS,Presidente,MDB,14,10,-31.58383,-52.8982,CANGUÇU
JAIR BOLSONARO,92,E.M.E.F. GONÇALVES DIAS,Presidente,PSL,14,10,-31.58383,-52.8982,CANGUÇU
MARINA SILVA,1,E.M.E.F. GONÇALVES DIAS,Presidente,REDE,14,10,-31.58383,-52.8982,CANGUÇU
ALVARO DIAS,1,E.M.E.F. GONÇALVES DIAS,Presidente,PODE,14,10,-31.58383,-52.8982,CANGUÇU
GERALDO ALCKMIN,52,E.M.E.F. GONÇALVES DIAS,Presidente,PSDB,14,10,-31.58383,-52.8982,CANGUÇU
Branco,6,E.E.E.M. ALBERTO WIENKE,Presidente,#NULO#,14,101,-31.2657,-52.52977,CANGUÇU
Nulo,8,E.E.E.M. ALBERTO WIENKE,Presidente,#NULO#,14,101,-31.2657,-52.52977,CANGUÇU
CIRO GOMES,15,E.E.E.M. ALBERTO WIENKE,Presidente,PDT,14,101,-31.2657,-52.52977,CANGUÇU
FERNANDO HADDAD,24,E.E.E.M. ALBERTO WIENKE,Presidente,PT,14,101,-31.2657,-52.52977,CANGUÇU
HENRIQUE MEIRELLES,11,E.E.E.M. ALBERTO WIENKE,Presidente,MDB,14,101,-31.2657,-52.52977,CANGUÇU
JAIR BOLSONARO,174,E.E.E.M. ALBERTO WIENKE,Presidente,PSL,14,101,-31.2657,-52.52977,CANGUÇU
MARINA SILVA,1,E.E.E.M. ALBERTO WIENKE,Presidente,REDE,14,101,-31.2657,-52.52977,CANGUÇU
ALVARO DIAS,3,E.E.E.M. ALBERTO WIENKE,Presidente,PODE,14,101,-31.2657,-52.52977,CANGUÇU
JOÃO AMOÊDO,2,E.E.E.M. ALBERTO WIENKE,Presidente,NOVO,14,101,-31.2657,-52.52977,CANGUÇU
GERALDO ALCKMIN,36,E.E.E.M. ALBERTO WIENKE,Presidente,PSDB,14,101,-31.2657,-52.52977,CANGUÇU
GUILHERME BOULOS,2,E.E.E.M. ALBERTO WIENKE,Presidente,PSOL,14,101,-31.2657,-52.52977,CANGUÇU
Branco,15,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,#NULO#,14,102,-31.46661,-52.67679,CANGUÇU
Nulo,10,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,#NULO#,14,102,-31.46661,-52.67679,CANGUÇU
CIRO GOMES,9,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PDT,14,102,-31.46661,-52.67679,CANGUÇU
FERNANDO HADDAD,74,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PT,14,102,-31.46661,-52.67679,CANGUÇU
HENRIQUE MEIRELLES,1,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,MDB,14,102,-31.46661,-52.67679,CANGUÇU
JAIR BOLSONARO,64,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PSL,14,102,-31.46661,-52.67679,CANGUÇU
MARINA SILVA,4,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,REDE,14,102,-31.46661,-52.67679,CANGUÇU
ALVARO DIAS,3,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PODE,14,102,-31.46661,-52.67679,CANGUÇU
JOÃO AMOÊDO,1,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,NOVO,14,102,-31.46661,-52.67679,CANGUÇU
GERALDO ALCKMIN,25,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PSDB,14,102,-31.46661,-52.67679,CANGUÇU
GUILHERME BOULOS,2,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PSOL,14,102,-31.46661,-52.67679,CANGUÇU
CABO DACIOLO,2,E.E.E.F. PROFESSORA MARIA MORAES MEDEIROS,Presidente,PATRI,14,102,-31.46661,-52.67679,CANGUÇU
Branco,26,E.M.E.F. VINTE DE SETEMBRO,Presidente,#NULO#,14,103,-31.42118,-52.57201,CANGUÇU
Nulo,14,E.M.E.F. VINTE DE SETEMBRO,Presidente,#NULO#,14,103,-31.42118,-52.57201,CANGUÇU
CIRO GOMES,7,E.M.E.F. VINTE DE SETEMBRO,Presidente,PDT,14,103,-31.42118,-52.57201,CANGUÇU
FERNANDO HADDAD,110,E.M.E.F. VINTE DE SETEMBRO,Presidente,PT,14,103,-31.42118,-52.57201,CANGUÇU
HENRIQUE MEIRELLES,4,E.M.E.F. VINTE DE SETEMBRO,Presidente,MDB,14,103,-31.42118,-52.57201,CANGUÇU
JAIR BOLSONARO,55,E.M.E.F. VINTE DE SETEMBRO,Presidente,PSL,14,103,-31.42118,-52.57201,CANGUÇU
MARINA SILVA,2,E.M.E.F. VINTE DE SETEMBRO,Presidente,REDE,14,103,-31.42118,-52.57201,CANGUÇU
GERALDO ALCKMIN,29,E.M.E.F. VINTE DE SETEMBRO,Presidente,PSDB,14,103,-31.42118,-52.57201,CANGUÇU
GUILHERME BOULOS,2,E.M.E.F. VINTE DE SETEMBRO,Presidente,PSOL,14,103,-31.42118,-52.57201,CANGUÇU
Branco,13,ESPORTE CLUBE CANGUÇUENSE,Presidente,#NULO#,14,104,-31.38227,-52.68072,CANGUÇU
Nulo,17,ESPORTE CLUBE CANGUÇUENSE,Presidente,#NULO#,14,104,-31.38227,-52.68072,CANGUÇU
CIRO GOMES,23,ESPORTE CLUBE CANGUÇUENSE,Presidente,PDT,14,104,-31.38227,-52.68072,CANGUÇU
FERNANDO HADDAD,52,ESPORTE CLUBE CANGUÇUENSE,Presidente,PT,14,104,-31.38227,-52.68072,CANGUÇU
HENRIQUE MEIRELLES,2,ESPORTE CLUBE CANGUÇUENSE,Presidente,MDB,14,104,-31.38227,-52.68072,CANGUÇU
JAIR BOLSONARO,118,ESPORTE CLUBE CANGUÇUENSE,Presidente,PSL,14,104,-31.38227,-52.68072,CANGUÇU
MARINA SILVA,2,ESPORTE CLUBE CANGUÇUENSE,Presidente,REDE,14,104,-31.38227,-52.68072,CANGUÇU
ALVARO DIAS,1,ESPORTE CLUBE CANGUÇUENSE,Presidente,PODE,14,104,-31.38227,-52.68072,CANGUÇU
JOÃO AMOÊDO,3,ESPORTE CLUBE CANGUÇUENSE,Presidente,NOVO,14,104,-31.38227,-52.68072,CANGUÇU
GERALDO ALCKMIN,27,ESPORTE CLUBE CANGUÇUENSE,Presidente,PSDB,14,104,-31.38227,-52.68072,CANGUÇU
GUILHERME BOULOS,3,ESPORTE CLUBE CANGUÇUENSE,Presidente,PSOL,14,104,-31.38227,-52.68072,CANGUÇU
CABO DACIOLO,2,ESPORTE CLUBE CANGUÇUENSE,Presidente,PATRI,14,104,-31.38227,-52.68072,CANGUÇU
Branco,14,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,#NULO#,14,105,-31.39128,-52.67004,CANGUÇU
Nulo,26,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,#NULO#,14,105,-31.39128,-52.67004,CANGUÇU
CIRO GOMES,25,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,PDT,14,105,-31.39128,-52.67004,CANGUÇU
FERNANDO HADDAD,71,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,PT,14,105,-31.39128,-52.67004,CANGUÇU
HENRIQUE MEIRELLES,7,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,MDB,14,105,-31.39128,-52.67004,CANGUÇU
JAIR BOLSONARO,121,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,PSL,14,105,-31.39128,-52.67004,CANGUÇU
ALVARO DIAS,2,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,PODE,14,105,-31.39128,-52.67004,CANGUÇU
JOÃO AMOÊDO,2,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,NOVO,14,105,-31.39128,-52.67004,CANGUÇU
GERALDO ALCKMIN,32,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,PSDB,14,105,-31.39128,-52.67004,CANGUÇU
CABO DACIOLO,4,GINÁSIO MUNICIPAL DE ESPORTES,Presidente,PATRI,14,105,-31.39128,-52.67004,CANGUÇU
Branco,8,CLUBE HARMONIA,Presidente,#NULO#,14,106,-31.39756,-52.67777,CANGUÇU
Nulo,7,CLUBE HARMONIA,Presidente,#NULO#,14,106,-31.39756,-52.67777,CANGUÇU
CIRO GOMES,42,CLUBE HARMONIA,Presidente,PDT,14,106,-31.39756,-52.67777,CANGUÇU
FERNANDO HADDAD,51,CLUBE HARMONIA,Presidente,PT,14,106,-31.39756,-52.67777,CANGUÇU
HENRIQUE MEIRELLES,6,CLUBE HARMONIA,Presidente,MDB,14,106,-31.39756,-52.67777,CANGUÇU
JAIR BOLSONARO,142,CLUBE HARMONIA,Presidente,PSL,14,106,-31.39756,-52.67777,CANGUÇU
ALVARO DIAS,4,CLUBE HARMONIA,Presidente,PODE,14,106,-31.39756,-52.67777,CANGUÇU
JOÃO AMOÊDO,8,CLUBE HARMONIA,Presidente,NOVO,14,106,-31.39756,-52.67777,CANGUÇU
GERALDO ALCKMIN,20,CLUBE HARMONIA,Presidente,PSDB,14,106,-31.39756,-52.67777,CANGUÇU
Branco,12,E.M.E.F. SANTO ANTONIO,Presidente,#NULO#,14,107,-31.40327,-52.68338,CANGUÇU
Nulo,17,E.M.E.F. SANTO ANTONIO,Presidente,#NULO#,14,107,-31.40327,-52.68338,CANGUÇU
CIRO GOMES,23,E.M.E.F. SANTO ANTONIO,Presidente,PDT,14,107,-31.40327,-52.68338,CANGUÇU
FERNANDO HADDAD,76,E.M.E.F. SANTO ANTONIO,Presidente,PT,14,107,-31.40327,-52.68338,CANGUÇU
HENRIQUE MEIRELLES,4,E.M.E.F. SANTO ANTONIO,Presidente,MDB,14,107,-31.40327,-52.68338,CANGUÇU
JAIR BOLSONARO,123,E.M.E.F. SANTO ANTONIO,Presidente,PSL,14,107,-31.40327,-52.68338,CANGUÇU
MARINA SILVA,2,E.M.E.F. SANTO ANTONIO,Presidente,REDE,14,107,-31.40327,-52.68338,CANGUÇU
ALVARO DIAS,1,E.M.E.F. SANTO ANTONIO,Presidente,PODE,14,107,-31.40327,-52.68338,CANGUÇU
GERALDO ALCKMIN,18,E.M.E.F. SANTO ANTONIO,Presidente,PSDB,14,107,-31.40327,-52.68338,CANGUÇU
GUILHERME BOULOS,4,E.M.E.F. SANTO ANTONIO,Presidente,PSOL,14,107,-31.40327,-52.68338,CANGUÇU
CABO DACIOLO,3,E.M.E.F. SANTO ANTONIO,Presidente,PATRI,14,107,-31.40327,-52.68338,CANGUÇU
JOÃO GOULART FILHO,1,E.M.E.F. SANTO ANTONIO,Presidente,PPL,14,107,-31.40327,-52.68338,CANGUÇU
Branco,22,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,#NULO#,14,11,-31.50728,-52.92152,CANGUÇU
Nulo,12,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,#NULO#,14,11,-31.50728,-52.92152,CANGUÇU
CIRO GOMES,6,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,PDT,14,11,-31.50728,-52.92152,CANGUÇU
FERNANDO HADDAD,40,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,PT,14,11,-31.50728,-52.92152,CANGUÇU
HENRIQUE MEIRELLES,2,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,MDB,14,11,-31.50728,-52.92152,CANGUÇU
JAIR BOLSONARO,88,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,PSL,14,11,-31.50728,-52.92152,CANGUÇU
MARINA SILVA,1,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,REDE,14,11,-31.50728,-52.92152,CANGUÇU
GERALDO ALCKMIN,23,ASSOCIAÇÃO DE AGRICULTORES DONA LUIZA,Presidente,PSDB,14,11,-31.50728,-52.92152,CANGUÇU
Branco,18,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,#NULO#,14,110,-31.47884,-52.84094,CANGUÇU
Nulo,6,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,#NULO#,14,110,-31.47884,-52.84094,CANGUÇU
CIRO GOMES,12,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,PDT,14,110,-31.47884,-52.84094,CANGUÇU
FERNANDO HADDAD,38,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,PT,14,110,-31.47884,-52.84094,CANGUÇU
JAIR BOLSONARO,65,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,PSL,14,110,-31.47884,-52.84094,CANGUÇU
JOÃO AMOÊDO,1,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,NOVO,14,110,-31.47884,-52.84094,CANGUÇU
GERALDO ALCKMIN,24,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,PSDB,14,110,-31.47884,-52.84094,CANGUÇU
GUILHERME BOULOS,1,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,PSOL,14,110,-31.47884,-52.84094,CANGUÇU
CABO DACIOLO,1,E.M.E.F. PRESIDENTE CASTELO BRANCO,Presidente,PATRI,14,110,-31.47884,-52.84094,CANGUÇU
Branco,4,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,#NULO#,14,111,-31.39043,-52.67722,CANGUÇU
Nulo,17,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,#NULO#,14,111,-31.39043,-52.67722,CANGUÇU
CIRO GOMES,26,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PDT,14,111,-31.39043,-52.67722,CANGUÇU
FERNANDO HADDAD,53,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PT,14,111,-31.39043,-52.67722,CANGUÇU
HENRIQUE MEIRELLES,4,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,MDB,14,111,-31.39043,-52.67722,CANGUÇU
VERA,1,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PSTU,14,111,-31.39043,-52.67722,CANGUÇU
JAIR BOLSONARO,133,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PSL,14,111,-31.39043,-52.67722,CANGUÇU
JOÃO AMOÊDO,3,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,NOVO,14,111,-31.39043,-52.67722,CANGUÇU
GERALDO ALCKMIN,14,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PSDB,14,111,-31.39043,-52.67722,CANGUÇU
GUILHERME BOULOS,4,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PSOL,14,111,-31.39043,-52.67722,CANGUÇU
CABO DACIOLO,5,COLÉGIO NOSSA SENHORA APARECIDA,Presidente,PATRI,14,111,-31.39043,-52.67722,CANGUÇU
Branco,18,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,#NULO#,14,112,-31.40622,-52.67021,CANGUÇU
Nulo,25,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,#NULO#,14,112,-31.40622,-52.67021,CANGUÇU
CIRO GOMES,14,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,PDT,14,112,-31.40622,-52.67021,CANGUÇU
FERNANDO HADDAD,79,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,PT,14,112,-31.40622,-52.67021,CANGUÇU
HENRIQUE MEIRELLES,2,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,MDB,14,112,-31.40622,-52.67021,CANGUÇU
JAIR BOLSONARO,93,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,PSL,14,112,-31.40622,-52.67021,CANGUÇU
MARINA SILVA,1,E.M.E.F. PRESIDENTE GETULIO VARGAS,Presidente,REDE,14,112,-31.40622,-52.67021,CANGUÇU
