NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,9,ESCOLA MUNICIPAL SANTO INACIO,Presidente,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
Nulo,10,ESCOLA MUNICIPAL SANTO INACIO,Presidente,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
CIRO GOMES,45,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PDT,97,1,-29.85437,-51.13978,ESTEIO
FERNANDO HADDAD,89,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PT,97,1,-29.85437,-51.13978,ESTEIO
HENRIQUE MEIRELLES,6,ESCOLA MUNICIPAL SANTO INACIO,Presidente,MDB,97,1,-29.85437,-51.13978,ESTEIO
JAIR BOLSONARO,137,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PSL,97,1,-29.85437,-51.13978,ESTEIO
MARINA SILVA,2,ESCOLA MUNICIPAL SANTO INACIO,Presidente,REDE,97,1,-29.85437,-51.13978,ESTEIO
ALVARO DIAS,2,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PODE,97,1,-29.85437,-51.13978,ESTEIO
JOÃO AMOÊDO,9,ESCOLA MUNICIPAL SANTO INACIO,Presidente,NOVO,97,1,-29.85437,-51.13978,ESTEIO
GERALDO ALCKMIN,11,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PSDB,97,1,-29.85437,-51.13978,ESTEIO
CABO DACIOLO,1,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PATRI,97,1,-29.85437,-51.13978,ESTEIO
Branco,6,CASA DE CULTURA,Presidente,#NULO#,97,10,-29.84997,-51.1669,ESTEIO
Nulo,4,CASA DE CULTURA,Presidente,#NULO#,97,10,-29.84997,-51.1669,ESTEIO
CIRO GOMES,18,CASA DE CULTURA,Presidente,PDT,97,10,-29.84997,-51.1669,ESTEIO
FERNANDO HADDAD,19,CASA DE CULTURA,Presidente,PT,97,10,-29.84997,-51.1669,ESTEIO
HENRIQUE MEIRELLES,4,CASA DE CULTURA,Presidente,MDB,97,10,-29.84997,-51.1669,ESTEIO
JAIR BOLSONARO,82,CASA DE CULTURA,Presidente,PSL,97,10,-29.84997,-51.1669,ESTEIO
ALVARO DIAS,2,CASA DE CULTURA,Presidente,PODE,97,10,-29.84997,-51.1669,ESTEIO
JOÃO AMOÊDO,8,CASA DE CULTURA,Presidente,NOVO,97,10,-29.84997,-51.1669,ESTEIO
GERALDO ALCKMIN,7,CASA DE CULTURA,Presidente,PSDB,97,10,-29.84997,-51.1669,ESTEIO
CABO DACIOLO,1,CASA DE CULTURA,Presidente,PATRI,97,10,-29.84997,-51.1669,ESTEIO
