NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
BRANCO,11,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,#NULO#,012,0003,-30.70167,-52.10804,DOM FELICIANO
DILMA,164,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,PT,012,0003,-30.70167,-52.10804,DOM FELICIANO
ZÉ MARIA,1,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,PSTU,012,0003,-30.70167,-52.10804,DOM FELICIANO
LEVY FIDELIX,1,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,PRTB,012,0003,-30.70167,-52.10804,DOM FELICIANO
MARINA SILVA,24,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,PSB,012,0003,-30.70167,-52.10804,DOM FELICIANO
AÉCIO NEVES,118,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,PSDB,012,0003,-30.70167,-52.10804,DOM FELICIANO
NULO,11,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,#NULO#,012,0003,-30.70167,-52.10804,DOM FELICIANO
LUCIANA GENRO,2,ESCOLA ESTADUAL DOM FELICIANO,PRESIDENTE,PSOL,012,0003,-30.70167,-52.10804,DOM FELICIANO
NULO,18,ESCOLA ESTADUAL DOM FELICIANO,GOVERNADOR,#NULO#,012,0003,-30.70167,-52.10804,DOM FELICIANO
ANA AMELIA LEMOS,66,ESCOLA ESTADUAL DOM FELICIANO,GOVERNADOR,PP,012,0003,-30.70167,-52.10804,DOM FELICIANO
VIEIRA DA CUNHA,3,ESCOLA ESTADUAL DOM FELICIANO,GOVERNADOR,PDT,012,0003,-30.70167,-52.10804,DOM FELICIANO
TARSO GENRO,142,ESCOLA ESTADUAL DOM FELICIANO,GOVERNADOR,PT,012,0003,-30.70167,-52.10804,DOM FELICIANO
JOSÉ IVO SARTORI,86,ESCOLA ESTADUAL DOM FELICIANO,GOVERNADOR,PMDB,012,0003,-30.70167,-52.10804,DOM FELICIANO
