NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
MARINA SILVA,23,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,PSB,47,1,-28.63667,-56.015,SÃO BORJA
LEVY FIDELIX,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,PRTB,47,1,-28.63667,-56.015,SÃO BORJA
PASTOR EVERALDO,7,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,PSC,47,1,-28.63667,-56.015,SÃO BORJA
DILMA,152,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,PT,47,1,-28.63667,-56.015,SÃO BORJA
NULO,12,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,,47,1,-28.63667,-56.015,SÃO BORJA
BRANCO,6,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,,47,1,-28.63667,-56.015,SÃO BORJA
AÉCIO NEVES,68,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,PRESIDENTE,PSDB,47,1,-28.63667,-56.015,SÃO BORJA
BRANCO,14,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,,47,1,-28.63667,-56.015,SÃO BORJA
ESTIVALETE,2,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,PRTB,47,1,-28.63667,-56.015,SÃO BORJA
JOSÉ IVO SARTORI,57,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,PMDB,47,1,-28.63667,-56.015,SÃO BORJA
TARSO GENRO,119,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,PT,47,1,-28.63667,-56.015,SÃO BORJA
VIEIRA DA CUNHA,10,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,PDT,47,1,-28.63667,-56.015,SÃO BORJA
ANA AMELIA LEMOS,51,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,PP,47,1,-28.63667,-56.015,SÃO BORJA
NULO,16,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,GOVERNADOR,,47,1,-28.63667,-56.015,SÃO BORJA
SIMONE LEITE,29,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,PP,47,1,-28.63667,-56.015,SÃO BORJA
LASIER MARTINS,80,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,PDT,47,1,-28.63667,-56.015,SÃO BORJA
OLÍVIO DUTRA,103,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,PT,47,1,-28.63667,-56.015,SÃO BORJA
SIMON,26,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,PMDB,47,1,-28.63667,-56.015,SÃO BORJA
CIRO MACHADO,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,PMN,47,1,-28.63667,-56.015,SÃO BORJA
BRANCO,14,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,,47,1,-28.63667,-56.015,SÃO BORJA
NULO,16,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,SENADOR,,47,1,-28.63667,-56.015,SÃO BORJA
PP,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,DEPUTADO FEDERAL,PP,47,1,-28.63667,-56.015,SÃO BORJA
PDT,5,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,DEPUTADO FEDERAL,PDT,47,1,-28.63667,-56.015,SÃO BORJA
PT,7,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,DEPUTADO FEDERAL,PT,47,1,-28.63667,-56.015,SÃO BORJA
