NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
LUCIANA GENRO,7,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,PSOL,156,1,-30.26035,-50.50877,PALMARES DO SUL
BRANCO,8,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,,156,1,-30.26035,-50.50877,PALMARES DO SUL
NULO,6,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,,156,1,-30.26035,-50.50877,PALMARES DO SUL
DILMA,107,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
MAURO IASI,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,PCB,156,1,-30.26035,-50.50877,PALMARES DO SUL
MARINA SILVA,19,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,PSB,156,1,-30.26035,-50.50877,PALMARES DO SUL
AÉCIO NEVES,83,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,PRESIDENTE,PSDB,156,1,-30.26035,-50.50877,PALMARES DO SUL
NULO,5,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,,156,1,-30.26035,-50.50877,PALMARES DO SUL
BRANCO,9,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,,156,1,-30.26035,-50.50877,PALMARES DO SUL
ESTIVALETE,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,PRTB,156,1,-30.26035,-50.50877,PALMARES DO SUL
JOSÉ IVO SARTORI,71,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,PMDB,156,1,-30.26035,-50.50877,PALMARES DO SUL
TARSO GENRO,87,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
ANA AMELIA LEMOS,37,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,PP,156,1,-30.26035,-50.50877,PALMARES DO SUL
VIEIRA DA CUNHA,21,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,GOVERNADOR,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
SIMON,26,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,PMDB,156,1,-30.26035,-50.50877,PALMARES DO SUL
OLÍVIO DUTRA,89,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
LASIER MARTINS,80,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
SIMONE LEITE,7,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,PP,156,1,-30.26035,-50.50877,PALMARES DO SUL
NULO,16,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,,156,1,-30.26035,-50.50877,PALMARES DO SUL
BRANCO,12,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,,156,1,-30.26035,-50.50877,PALMARES DO SUL
GOLD,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,SENADOR,PRP,156,1,-30.26035,-50.50877,PALMARES DO SUL
AFONSO MOTTA,19,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
LUIZ CARLOS HEINZE,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PP,156,1,-30.26035,-50.50877,PALMARES DO SUL
GIOVANI  CHERINI,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
MIGUELINA VECCHIO,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
RONALDO ZULKE,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
PAULO PIMENTA,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
HENRIQUE FONTANA,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
BOHN GASS,8,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
MARCON,40,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
MARIA DO ROSÁRIO,8,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
FABIANO PEREIRA,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
BUSATO,4,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PTB,156,1,-30.26035,-50.50877,PALMARES DO SUL
PASTOR AIRTON LIMA,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PTB,156,1,-30.26035,-50.50877,PALMARES DO SUL
RONALDO NOGUEIRA,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,DEPUTADO FEDERAL,PTB,156,1,-30.26035,-50.50877,PALMARES DO SUL
