NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
ZÉ MARIA,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,PSTU,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
RUI COSTA PIMENTA,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,PCO,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
MARINA SILVA,9,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,PSB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
AÉCIO NEVES,115,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,PSDB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
LUCIANA GENRO,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,PSOL,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
BRANCO,7,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
DILMA,205,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,PT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
NULO,4,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,PRESIDENTE,,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
ANA AMELIA LEMOS,54,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,GOVERNADOR,PP,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
VIEIRA DA CUNHA,11,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,GOVERNADOR,PDT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
NULO,9,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,GOVERNADOR,,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
JOSÉ IVO SARTORI,58,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,GOVERNADOR,PMDB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
BRANCO,11,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,GOVERNADOR,,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
TARSO GENRO,200,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,GOVERNADOR,PT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
OLÍVIO DUTRA,168,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,SENADOR,PT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
LASIER MARTINS,70,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,SENADOR,PDT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
SIMONE LEITE,22,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,SENADOR,PP,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
NULO,25,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,SENADOR,,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
BRANCO,21,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,SENADOR,,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
SIMON,37,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,SENADOR,PMDB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
DANRLEI DE DEUS GOLEIRO,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,DEPUTADO FEDERAL,PSD,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
NELSON MARCHEZAN JUNIOR,9,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,DEPUTADO FEDERAL,PSDB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
BETO GRILL,95,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,DEPUTADO FEDERAL,PSB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
HEITOR SCHUCH,3,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,DEPUTADO FEDERAL,PSB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
ONYX LORENZONI,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,DEPUTADO FEDERAL,DEM,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
